symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumalated_quantity,order_trade_time
ETHUSDT,SELL,LIMIT,IOC,3.969,2502.06,2511.44,FILLED,0.171,3.969,2024-08-07 11:47:37
ETHUSDT,SELL,LIMIT,IOC,0.177,2500.97,2510.72,FILLED,0.144,0.177,2024-08-07 11:47:53
ETHUSDT,SELL,LIMIT,IOC,0.300,2499.72,2509.15,FILLED,0.300,0.300,2024-08-07 11:48:12
ETHUSDT,BUY,LIMIT,IOC,0.252,2535.45,2525.69,FILLED,0.252,0.252,2024-08-07 12:06:12
ETHUSDT,BUY,LIMIT,IOC,6.140,2535.63,2526.23,FILLED,4.295,6.140,2024-08-07 12:13:31
ETHUSDT,BUY,LIMIT,IOC,0.026,2536.24,2526.68,FILLED,0.026,0.026,2024-08-07 12:13:36
ETHUSDT,SELL,LIMIT,IOC,0.207,2502.11,2512.39,FILLED,0.207,0.207,2024-08-07 12:23:37
ETHUSDT,SELL,LIMIT,IOC,0.013,2501.96,2510.82,FILLED,0.013,0.013,2024-08-07 12:23:42
ETHUSDT,SELL,LIMIT,IOC,0.306,2501.38,2511.00,FILLED,0.306,0.306,2024-08-07 12:24:14
ETHUSDT,SELL,LIMIT,IOC,0.090,2500.32,2510.19,FILLED,0.09,0.090,2024-08-07 12:24:44
ETHUSDT,BUY,LIMIT,IOC,0.632,2532.61,2523.54,FILLED,0.632,0.632,2024-08-07 12:34:02
ETHUSDT,BUY,LIMIT,IOC,0.092,2531.24,2525.70,FILLED,0.092,0.092,2024-08-07 12:34:29
ETHUSDT,BUY,LIMIT,IOC,1.100,2535.86,2526.13,FILLED,1.1,1.100,2024-08-07 12:34:32
ETHUSDT,SELL,LIMIT,IOC,0.057,2515.57,2524.91,FILLED,0.057,0.057,2024-08-07 12:34:49
ETHUSDT,BUY,LIMIT,IOC,1.066,2538.57,2528.92,FILLED,0.991,1.066,2024-08-07 12:37:10
ETHUSDT,BUY,LIMIT,IOC,0.677,2539.67,2530.45,FILLED,0.677,0.677,2024-08-07 12:38:10
ETHUSDT,BUY,LIMIT,IOC,0.572,2541.55,2531.51,FILLED,0.572,0.572,2024-08-07 12:38:32
ETHUSDT,SELL,LIMIT,IOC,0.015,2520.74,2530.85,FILLED,0.015,0.015,2024-08-07 12:38:37
ETHUSDT,BUY,LIMIT,IOC,0.026,2538.87,2530.64,FILLED,0.026,0.026,2024-08-07 12:39:10
ETHUSDT,BUY,LIMIT,IOC,0.865,2542.23,2532.17,FILLED,0.865,0.865,2024-08-07 12:39:46
ETHUSDT,BUY,LIMIT,IOC,0.888,2543.05,2533.00,FILLED,0.757,0.888,2024-08-07 12:39:51
ETHUSDT,SELL,LIMIT,IOC,0.023,2512.04,2521.11,FILLED,0.023,0.023,2024-08-07 12:41:17
ETHUSDT,SELL,LIMIT,IOC,0.168,2510.76,2519.45,FILLED,0.168,0.168,2024-08-07 12:41:22
ETHUSDT,SELL,LIMIT,IOC,19.870,2505.85,2514.06,FILLED,0.7,19.870,2024-08-07 12:42:05
ETHUSDT,SELL,LIMIT,IOC,0.009,2504.9,2514.14,FILLED,0.009,0.009,2024-08-07 12:42:06
ETHUSDT,SELL,LIMIT,IOC,1.185,2501.56,2510.61,FILLED,0.179,1.185,2024-08-07 12:43:10
ETHUSDT,BUY,LIMIT,IOC,0.755,2531.71,2521.75,FILLED,0.755,0.755,2024-08-07 08:16:23.110
ETHUSDT,BUY,LIMIT,IOC,0.013,2532.07,2522.19,FILLED,0.013,0.013,2024-08-07 08:16:24.160
ETHUSDT,BUY,LIMIT,IOC,0.032,2532.3,2523.29,FILLED,0.032,0.032,2024-08-07 08:16:26.185
ETHUSDT,BUY,LIMIT,IOC,0.298,2533.02,2522.24,FILLED,0.298,0.298,2024-08-07 08:16:27.223
ETHUSDT,SELL,LIMIT,IOC,3.878,2490,2504.21,FILLED,2.744,3.878,2024-08-07 15:37:02
ETHUSDT,SELL,LIMIT,IOC,0.019,2490,2503.00,FILLED,0.019,0.019,2024-08-07 15:37:11
ETHUSDT,SELL,LIMIT,IOC,0.999,2500,2512.14,FILLED,0.999,0.999,2024-08-07 16:11:05
